id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,breeders.name,suffix,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,trainer,raceOwners.name,horseCareerData.data.raceYear,horseCareerData.data.horseAge,horseCareerData.data.raceType,horseCareerData.data.raceCount,horseCareerData.data.raceWonCount,horseCareerData.data.racePrizeCount,horseCareerData.data.prize,horseCareerData.recordCount,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.trainer,races.country,races.city
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72896,23.10.2016,,7,6,,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95165,27.11.2016,,20,17,,Ireneusz Wójcik I.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28508,23.04.2017,,10,4,480,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93517,13.05.2017,,7,3,960,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95867,10.06.2017,,9,4,480,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94224,26.07.2017,,3,6,,Sophie Ralston S.,Michał Romanowski M.,Germany,Hoppegarten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97446,20.08.2017,,10,2,1600,Joanna Mason J.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97877,16.09.2017,,12,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98261,1.10.2017,,11,1,4000,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98508,14.10.2017,,9,1,4800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99042,29.10.2017,,8,4,480,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99352,18.11.2017,,7,1,4800,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99489,22.04.2018,,7,2,3120,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99599,6.05.2018,,9,4,600,Marek Březina M.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100293,9.06.2018,,10,2,3120,Szczepan Mazur S.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101276,28.07.2018,,4,3,3000,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101727,12.08.2018,,6,1,5000,Szczepan Mazur S.,Michał Romanowski M.,Poland,Warszawa
10,FEMIDA,2013,MARE,THOROUGHBRED,,Millennium Stud,FR,Fines Girl,MARE,THOROUGHBRED,USA,Kupets,STALLION,THOROUGHBRED,USA,2,gniada,gn.,bay,bay,Michał Romanowski M.,Millennium Stud Sp. z o.o.,2016,3,Płaskie,1,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0 zł,2,139,24.04.2016,,10,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Wrocław
11,HOT CHOCOLATE,2013,MARE,THOROUGHBRED,,Expert Host Janusz Romanowski,,HEBRAJKA,MARE,THOROUGHBRED,,Ryan,STALLION,THOROUGHBRED,IRE,2,gniada,gn.,bay,bay,Michał Romanowski M.,Polski Klub Wiejski Sp. z o.o.,2015,2,Płaskie,2,0,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,5400 zł,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2016,3,Płaskie,10,1,6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,6,13050 zł,4,34332,9.08.2015,,1,2,3600,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41190,29.08.2015,,9,3,1800,Piotr Krowicki P.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,17.04.2016,,5,8,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,7.05.2016,,1,5,350,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18777,26.06.2016,,4,2,2500,Ireneusz Wójcik I.,Michał Romanowski M.,Poland,Wrocław
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22869,9.07.2016,,1,4,700,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Sopot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30839,31.07.2016,,2,3,1600,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Wrocław
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37294,14.08.2016,,7,7,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49178,10.09.2016,,7,1,6000,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66091,15.10.2016,,1,3,1200,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78628,5.11.2016,,3,4,700,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94239,20.11.2016,,3,12,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
